"","X","text","favoriteCount","created","id","retweetCount","subject","url","source","categories"
"11581",11581,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","Colbert County, Alabama"
"11582",11582,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","Congressional districts of Alabama"
"11583",11583,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","Constituencies disestablished in 1841"
"11584",11584,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","Constituencies disestablished in 1861"
"11585",11585,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","Constituencies disestablished in 1963"
"11586",11586,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","Constituencies established in 1833"
"11587",11587,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","Constituencies established in 1843"
"11588",11588,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","Constituencies established in 1868"
"11589",11589,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","Constituencies established in 1965"
"11590",11590,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","Jackson County, Alabama"
"11591",11591,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","Lauderdale County, Alabama"
"11592",11592,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","Lawrence County, Alabama"
"11593",11593,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","Limestone County, Alabama"
"11594",11594,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","Madison County, Alabama"
